"Date","Oslo","Bergen","Bærum","Trondheim","Tromsø","Haugesund","Enebakk","Nes","Stavanger","Kristiansand","Øygarden","Drammen","Klepp","Nord-Fron","Ukjent"
"25.02.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26.02.20","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"27.02.20","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"28.02.20","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29.02.20","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01.03.20","3","1","0","0","0","0","3","1","0","0","0","0","0","0","0"
"02.03.20","0","1","0","0","0","0","0","0","1","2","2","0","0","0","0"
"03.03.20","1","3","0","0","1","0","0","0","0","1","0","2","0","0","0"
"04.03.20","7","5","0","1","0","1","0","0","1","0","0","6","1","0","1"
"05.03.20","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"